"id","ope_rat_id","obs_id","obs_value","obs_name","time"
"1","2","1004","100","0","8/1/2025 07:57:34"
"2","2","1003","91","0","8/1/2025 07:57:34"
"3","2","1001","91","0","8/1/2025 07:57:34"
"4","2","2003","38","0","8/1/2025 07:57:34"
"5","2","1018","97","0","8/1/2025 07:57:34"
"6","2","5001","57","0","8/1/2025 07:57:34"
"7","2","1004","100","0","8/1/2025 07:57:35"
"8","2","1003","91","0","8/1/2025 07:57:35"
"9","2","1001","91","0","8/1/2025 07:57:35"
"10","2","2003","38","0","8/1/2025 07:57:35"
"11","2","1018","97","0","8/1/2025 07:57:35"
"12","2","5001","57","0","8/1/2025 07:57:35"
"13","2","1004","100","0","8/1/2025 07:57:36"
"14","2","1003","91","0","8/1/2025 07:57:36"
"15","2","1001","91","0","8/1/2025 07:57:36"
"16","2","2003","38","0","8/1/2025 07:57:36"
"17","2","1018","97","0","8/1/2025 07:57:36"
"18","2","5001","57","0","8/1/2025 07:57:36"
"19","2","1004","100","0","8/1/2025 07:57:37"
"20","2","1003","91","0","8/1/2025 07:57:37"
"21","2","1001","91","0","8/1/2025 07:57:37"
"22","2","2003","38","0","8/1/2025 07:57:37"
"23","2","1018","96","0","8/1/2025 07:57:37"
"24","2","5001","57","0","8/1/2025 07:57:37"
"25","2","1004","100","0","8/1/2025 07:57:38"
"26","2","1003","91","0","8/1/2025 07:57:38"
"27","2","1001","91","0","8/1/2025 07:57:38"
"28","2","2003","38","0","8/1/2025 07:57:38"
"29","2","1018","96","0","8/1/2025 07:57:38"
"30","2","5001","57","0","8/1/2025 07:57:38"
"31","2","1004","100","0","8/1/2025 07:57:39"
"32","2","1003","91","0","8/1/2025 07:57:39"
"33","2","1001","91","0","8/1/2025 07:57:39"
"34","2","2003","38","0","8/1/2025 07:57:39"
"35","2","1018","96","0","8/1/2025 07:57:39"
"36","2","5001","57","0","8/1/2025 07:57:39"
"37","2","1004","100","0","8/1/2025 07:57:40"
"38","2","1003","90","0","8/1/2025 07:57:40"
"39","2","1001","90","0","8/1/2025 07:57:40"
"40","2","2003","38","0","8/1/2025 07:57:40"
"41","2","1018","96","0","8/1/2025 07:57:40"
"42","2","5001","56","0","8/1/2025 07:57:40"
"43","2","1004","100","0","8/1/2025 07:57:41"
"44","2","1003","90","0","8/1/2025 07:57:41"
"45","2","1001","90","0","8/1/2025 07:57:41"
"46","2","2003","38","0","8/1/2025 07:57:41"
"47","2","1018","96","0","8/1/2025 07:57:41"
"48","2","5001","53","0","8/1/2025 07:57:41"
"49","2","1004","100","0","8/1/2025 07:57:42"
"50","2","1003","89","0","8/1/2025 07:57:42"
"51","2","1001","89","0","8/1/2025 07:57:42"
"52","2","2003","38","0","8/1/2025 07:57:42"
"53","2","1018","96","0","8/1/2025 07:57:42"
